1,2,2,2026-05-30,2026-05-31,7.0,TERMINATO,Chiusura Naturale
2,3,4,2026-05-30,2026-05-30,50.0,TERMINATO,Chiusura Anticipata
3,2,1,2026-06-01,2026-06-01,175.0,TERMINATO,Chiusura Anticipata
4,2,3,2026-06-01,2026-06-01,2500.0,TERMINATO,Chiusura Anticipata
5,2,4,2026-06-01,2026-06-03,750.0,TERMINATO,Chiusura Anticipata
6,2,5,2026-06-01,2026-06-02,67.0,TERMINATO,Chiusura Naturale
7,2,2,2026-06-01,2026-06-02,7.0,TERMINATO,Chiusura Naturale
8,2,1,2026-06-03,2026-06-08,175.0,ATTIVO,
9,2,2,2026-06-04,2026-06-09,150.0,ATTIVO,
10,2,4,2026-06-05,2026-06-05,250.0,TERMINATO,Chiusura Anticipata
